visitor_id,first_name,last_name,birth_date,gender,email,city,country,customer_type,signup_date
1,Danielle,Juarez,1949-11-09,M,fbaldwin@example.com,Toddton,Liechtenstein,SeasonPass,2020-05-17
2,Angel,Lowe,1982-10-04,F,bianca90@example.org,Ryanhaven,Niger,Walk-in,2016-05-27
3,Joshua,Burns,1979-06-30,F,patriciahayes@example.org,North Megan,Togo,Walk-in,2023-10-10
4,Jeffrey,Ray,1988-01-08,F,brobinson@example.com,East Megan,Syrian Arab Republic,SeasonPass,2021-01-23
5,Jill,Adams,1977-06-05,M,selenabrooks@example.net,Tylertown,Senegal,Member,2025-03-27
6,Erica,Perry,1953-09-02,M,taylorchristopher@example.com,Lake Brandonfurt,Greenland,Member,2016-07-30
7,Patricia,Hayes,1986-04-24,M,jerry07@example.net,Lake Rachel,Comoros,SeasonPass,2018-10-23
8,Christopher,Schultz,1993-11-06,F,ronald76@example.com,Hillton,Belgium,Walk-in,2018-03-21
9,Robert,Beard,2014-06-03,F,linda54@example.com,Jacksonberg,South Georgia and the South Sandwich Islands,SeasonPass,2017-01-11
10,Anthony,Davis,1940-02-13,F,whitejesus@example.net,Melaniefort,Saint Helena,SeasonPass,2022-10-25
11,Jeffery,Robertson,1941-10-27,M,howardchristopher@example.net,New Frank,Saint Kitts and Nevis,Member,2015-06-27
12,William,Ramirez,1987-07-14,Other,hartmansara@example.org,Paigeview,United Kingdom,SeasonPass,2022-05-18
13,Anthony,Mayer,1948-12-17,F,jonesbenjamin@example.org,North Christopherhaven,Bolivia,Walk-in,2020-07-29
14,James,Wood,2004-06-13,M,james54@example.com,East Haley,Bouvet Island (Bouvetoya),Walk-in,2025-01-31
15,Debra,Clements,2000-10-06,M,james92@example.net,Allenberg,Cambodia,Walk-in,2022-01-01
16,Amy,Murphy,2015-12-02,M,alan44@example.com,Jonesside,Dominican Republic,SeasonPass,2022-09-12
17,Jeffrey,Smith,1971-06-19,M,lbautista@example.net,Adamland,Palestinian Territory,Member,2016-08-09
18,Bridget,Schroeder,1965-05-14,F,kennedywilliam@example.org,Port Michaelside,Guinea,Walk-in,2021-11-19
19,Lisa,Oconnor,1982-08-04,M,uperez@example.net,North Darrenstad,Morocco,Walk-in,2020-08-15
20,Adam,Simon,1988-06-12,M,thomasblack@example.net,New Gregorymouth,Antarctica (the territory South of 60 deg S),Walk-in,2015-03-05
21,Linda,Ellis,1940-11-09,F,dsharp@example.com,Port Dianemouth,Falkland Islands (Malvinas),Walk-in,2019-02-21
